Epoch,TrueStage,PredStage,Correct
1,N2,N2,1
2,N2,N2,1
3,N2,N2,1
4,N2,N2,1
5,N2,N2,1
6,N2,N2,1
7,N2,N2,1
8,N2,N2,1
9,N2,N2,1
10,N2,N2,1
11,N2,N2,1
12,N2,N2,1
13,N2,N2,1
14,N2,N2,1
15,N2,N2,1
16,N2,N2,1
17,N2,N2,1
18,N2,N2,1
19,N2,N2,1
20,N2,N2,1
21,N2,N2,1
22,N2,N2,1
23,N2,N2,1
24,N2,N2,1
25,N2,N2,1
26,N2,N2,1
27,N2,N2,1
28,N2,N2,1
29,N2,N2,1
30,N2,N2,1
31,N2,N2,1
32,N2,N2,1
33,N2,N2,1
34,N2,N2,1
35,N2,N2,1
36,N2,N2,1
37,N2,N2,1
38,N2,N2,1
39,N2,N2,1
40,N2,N2,1
41,N2,N2,1
42,N2,N2,1
43,N2,N2,1
44,N2,N2,1
45,N2,N2,1
46,N2,N2,1
47,N2,N2,1
48,N2,N2,1
49,N2,N2,1
50,N2,N2,1
51,N2,N2,1
52,N2,N2,1
53,N2,N2,1
54,N2,N2,1
55,N2,N2,1
56,N2,N2,1
57,N2,N2,1
58,N2,N2,1
59,N2,N2,1
60,N2,N2,1
61,N2,N2,1
62,N2,N2,1
63,N2,N2,1
64,N2,N2,1
65,N2,N2,1
66,N2,N2,1
67,N2,N2,1
68,N2,N2,1
69,N2,N2,1
70,N2,N2,1
71,N2,N2,1
72,N2,N2,1
73,N2,N2,1
74,N2,N2,1
75,N2,N2,1
76,N2,N2,1
77,N2,N2,1
78,N2,N2,1
79,N2,N2,1
80,N2,N2,1
81,N2,N2,1
82,N2,N2,1
83,N2,N2,1
84,N2,N2,1
85,N2,N2,1
86,N2,N2,1
87,N2,N2,1
88,N2,N2,1
89,N2,N2,1
90,N2,N2,1
91,N2,N2,1
92,N2,N2,1
93,N2,N2,1
94,N2,N2,1
95,N2,N2,1
96,N2,N2,1
97,N2,N2,1
98,N2,N2,1
99,N2,N2,1
100,N2,N2,1
101,N2,N2,1
102,N2,N2,1
