onset_s,offset_s,duration_s,peak_amp,freq_hz
18394.24,18394.77,0.54,55.0094432596223,27.7777777777778
18410.2,18410.69,0.5,40.3019212592075,28
18634,18634.52,0.53,42.1838760681953,28.3018867924528
18654.2,18654.86,0.67,38.2125368248501,26.865671641791
18703.67,18704.19,0.53,55.1900199606715,28.3018867924528
22672.15,22672.91,0.77,47.7132457964515,25.974025974026
22757.74,22758.39,0.66,20.3477608800372,27.2727272727273
22829.32,22830.13,0.82,31.4228688923243,26.8292682926829
22887.47,22887.97,0.51,35.4615439305271,27.4509803921569
22890.32,22891.02,0.71,37.1352145739114,28.169014084507
22985.54,22986.17,0.64,38.5868907461198,26.5625
22992.63,22993.52,0.9,46.3807899448019,26.6666666666667
23018.44,23018.96,0.53,54.442572164351,26.4150943396226
23044.01,23044.58,0.58,63.5512778119157,25.8620689655172
23054.24,23054.86,0.63,37.0994874730641,26.984126984127
23071.48,23072.2,0.73,35.6876150066966,27.3972602739726
23128.03,23128.65,0.63,45.193800086527,26.984126984127
23137.4,23137.91,0.52,44.9771592206318,26.9230769230769
23143,23143.56,0.57,39.0978123532841,26.3157894736842
23145.81,23146.66,0.86,41.2317928740026,26.7441860465116
23151.79,23152.67,0.89,73.0346716152189,26.9662921348315
23166.24,23166.93,0.7,69.3168965284317,27.1428571428571
23197.83,23198.36,0.54,37.0340188155623,25.9259259259259
23222.2,23223.21,1.02,27.8430771365679,26.4705882352941
23251.21,23251.74,0.54,34.7371625222075,27.7777777777778
23276.18,23276.7,0.53,52.0162509218859,26.4150943396226
23385.87,23386.37,0.51,30.2093292911027,25.4901960784314
23477.94,23478.71,0.78,67.4606548073603,26.9230769230769
23482.06,23482.64,0.59,59.2044934221731,25.4237288135593
23559.24,23560.01,0.78,61.3914015951952,26.9230769230769
23926.55,23927.11,0.57,46.7609409578352,26.3157894736842
23935.18,23935.69,0.52,47.8831657395644,26.9230769230769
23937.37,23938.03,0.67,39.1916981460684,25.3731343283582
23998.71,23999.2,0.5,30.9317249330836,26
24008.67,24009.19,0.53,41.6994694991231,26.4150943396226
24071.79,24072.38,0.6,58.6166086106082,25
24139.3,24139.81,0.52,36.0759418088667,26.9230769230769
24146.17,24146.98,0.82,30.1720958168751,26.8292682926829
24149.55,24150.09,0.55,37.1164372210113,25.4545454545455
24159.72,24160.27,0.56,49.8233805362445,26.7857142857143
24269.7,24270.67,0.98,49.060060810544,26.530612244898
24273.33,24274.1,0.78,39.2645110923804,25.6410256410256
24276.79,24277.36,0.58,44.3299050755927,25.8620689655172
24327.78,24328.35,0.58,44.86442370163,25.8620689655172
24349.1,24349.74,0.65,52.8893113483109,27.6923076923077
