bp_abs_delta,bp_abs_theta,bp_abs_alpha,bp_abs_sigma,bp_abs_beta,bp_rel_delta,bp_rel_theta,bp_rel_alpha,bp_rel_sigma,bp_rel_beta,sef95,spectral_entropy,hjorth_activity,hjorth_mobility,hjorth_complexity,hilbert_env_mean,hilbert_env_std,hilbert_env_peak,wavelet_delta,wavelet_theta,wavelet_alpha,wavelet_sigma,wavelet_beta,total_power,Stage
289.705341012674,26.1052773780013,6.402281632431,3.46081204086536,7.46773590252083,0.649474738490066,0.0585240097370048,0.0143529289947781,0.00775860737447008,0.0167415133095196,6.4453125,4.64482283399916,435.181310257705,0.26484181275898,4.74004878155423,22.5743898707262,18.9913267154286,141.81094151909,2621.8451716906,524.351161777764,111.92046432918,33.0100501605674,10.2574614958135,446.060984121102,W
996.6427365462,43.98315879437,10.9855895939445,5.75845577120998,9.52879180456388,0.80028493313514,0.0353176298829054,0.00882121698303513,0.00462392914013959,0.00765143639996877,4.296875,4.27376342901709,1253.06858571378,0.182695230649243,5.90429506731726,40.821943636002,28.9686204189181,176.732092431724,6749.13661059554,1491.58879506294,210.128981100843,38.2207424417091,9.97188328617667,1245.35986531925,W
694.12530850151,58.4051744817713,14.4682433312839,8.40126306299674,12.2619181711786,0.737611297981192,0.062064177794237,0.0153746587430083,0.00892759056135898,0.0130301103665384,6.0546875,4.68763649703488,925.027622766691,0.240771456158673,4.79804045277397,36.2209754636834,23.1875354785517,146.947259417541,6519.05723984212,1342.28857880481,243.986260481185,60.7253345342241,14.4781085090827,941.044843539272,W
525.322301349423,34.8818725971726,7.88470230072858,5.43658756938548,9.12578067939619,0.760525360727994,0.0504995669738128,0.0114149276474478,0.00787071615218943,0.0132116752425972,5.6640625,4.56794482615023,712.659668958335,0.231820333335789,5.06825019570006,29.106930646582,24.0381317295069,155.124295183596,4673.04916574561,1008.96806773936,158.883184873652,43.1957947364259,11.2479676380571,690.736073346155,W
210.965128588005,19.9235055988688,7.24927931132181,4.58966041473956,9.53145569981385,0.628177167871348,0.0593249292190271,0.0215857083934838,0.0136663338634168,0.028381196870186,10.9375,4.7800024989488,329.209500474975,0.318107828338369,4.03488509617787,20.7365483750319,15.1087698380642,92.689996100668,1902.27148314921,546.215091927547,94.9788178567756,40.0197363525711,11.6309715341986,335.836988954701,W
883.481143915871,44.4838546223002,13.6366555903359,7.47057143802439,11.4275120101286,0.694010124298417,0.0349438646068434,0.0107121437808127,0.00586843561742979,0.00897677226637702,4.296875,4.30235684679476,1193.56089446045,0.203371872955256,5.8755077242869,40.2263192395772,27.721005340896,178.419253582804,7233.72367775083,1262.50640453846,165.620029146776,58.0098429013898,13.5205838661762,1273.00901382237,W
1118.5751442164,73.3681605885872,19.9173314961917,15.4420495784105,34.605796524388,0.716197719879165,0.0469759314758285,0.012752605381414,0.00988718617207089,0.022157288845115,7.6171875,4.69913069232955,1487.9147511389,0.292735782916036,4.46383040442588,45.9630765395245,29.3707386794565,171.396196852767,9687.47317022233,2463.09185322806,304.001277651969,120.825026015294,49.8516140112063,1561.82449785672,W
624.084607522674,48.6154071361104,10.9020965774182,8.59406493378482,12.5383638822587,0.652427703630699,0.0508232987267382,0.0113972204233649,0.0089843684366124,0.0131077995777856,5.46875,4.43706634388236,988.454580300353,0.230383128850173,5.20458770315805,37.8183997587765,23.3710389407451,139.816339466758,4991.46596709239,1156.75014961969,223.383287897366,58.6234720546752,15.7210193620686,956.557491427328,W
638.269292481161,52.2516727057317,15.5912396795308,7.34077701570146,14.1887724388474,0.690701454202252,0.0565440116695168,0.0168720194537412,0.00794380274822499,0.0153543431781907,6.4453125,4.73988399193777,948.119906070326,0.249288753484202,4.81603665266658,37.2651815530352,22.5187485364495,141.923048619286,7435.24253107704,1390.93844296443,227.35686753229,57.7524587327602,18.5189723040292,924.088531445688,W
849.083149994786,97.545448648517,14.2444142700556,9.19328539246189,15.0961844274455,0.716121905991155,0.0822704261736525,0.0120138258506984,0.00775367295607136,0.0127322139951107,5.859375,4.84180099885365,1175.89923729,0.244084041430138,4.6760018987475,41.167637612865,25.6228424654527,155.813120941277,9772.68099409389,2240.24971755559,353.272939595092,74.5604869641685,17.9995122423106,1185.66844959114,W
464.825470697581,42.8427580091644,9.58848602989696,7.06426999758519,12.9314172084815,0.718647814473669,0.0662374511515134,0.0148243694975569,0.0109217814312062,0.0199927398577703,7.2265625,4.78153799841832,681.34522443461,0.274332532290505,4.45517911788342,29.4994114792876,22.1945512745834,133.846723137897,4555.18411952275,1299.15808124344,163.807919082601,58.7353691014062,16.0346459232527,646.805655476759,W
355.824891462752,30.5422610417796,9.02559791516913,5.6192402351316,8.16902785761703,0.677491608003735,0.0581525521168638,0.0171847641675827,0.0106990494313327,0.0155538523354362,6.8359375,4.7199966182185,557.592393765426,0.254263175758131,4.79124133401009,27.6980596229437,18.6568141830897,136.404810719782,4618.94255170165,717.446748419634,123.582340918049,37.8717754591128,11.3374509208467,525.209297442384,W
645.864520166028,51.200332419554,10.5337129847638,6.54540372285192,12.7411932001286,0.742518621934705,0.0588624999264447,0.0121100909015592,0.00752492821721953,0.0146479221591726,5.859375,4.70238631389454,866.395516719323,0.243404109133202,4.9145275566501,34.456610834239,23.3496568977549,134.189160631061,4561.9795797295,1740.55379892222,186.444671986858,50.1843946117655,15.0076975909157,869.829390249048,W
1062.02779887701,75.284181786759,15.4004855310313,8.39082640822805,10.9413470960301,0.702120355079544,0.0497713492093942,0.0101814607686152,0.00554728418915721,0.00723346650270012,4.8828125,4.47298404786695,1462.7818050366,0.202473836822533,5.41418212140187,45.8110362966755,28.7440980396773,163.275755253927,8948.58570527352,2292.24720650693,305.256671064985,62.7746235304889,15.5744306673578,1512.60078303341,W
668.726634365848,66.9072110214282,16.6488787146961,12.1261130226059,16.2107915123389,0.747150941281395,0.0747536932495267,0.0186013608008317,0.0135481918818983,0.0181118973208629,7.8125,4.9275577412387,894.118009819271,0.274233217741477,4.31372541291511,34.1099012748358,24.989069977624,159.816728875258,5874.572156037,1850.66179115753,260.529392290151,76.6512348340758,19.3269323705479,895.035524172604,W
498.031436841763,46.0060704965323,14.801092140346,7.38597998838658,9.40572104541359,0.726845874433241,0.0671429955332596,0.0216012724568928,0.0107793779389693,0.0137270642618107,6.8359375,4.74622372256142,711.967952342325,0.250332149009706,4.64551706063791,31.1008517656125,21.363580875207,148.20125837273,4559.26179825702,1199.4467183257,236.635303682627,50.1859601276199,12.4932534956185,685.195382349943,W
750.977071830983,77.5710805903334,22.4029260202729,15.2510309793405,21.6124576681144,0.735424237503562,0.0759645732677077,0.0219389584639888,0.0149351801137932,0.0211648608157884,9.375,4.99321284274679,1022.008142997,0.290208460612029,4.17791961473811,35.8025215834937,27.6087233237008,173.342750554157,7405.40875417614,1795.81248443857,299.544751519355,100.905262069102,28.6613673542929,1021.1481122518,W
600.775516816331,70.4443822252628,21.8180321085978,11.7089875494645,20.5700629219385,0.751542258627665,0.0881226492147315,0.02729334447016,0.014647399407686,0.0257321930001236,10.7421875,5.17777956846136,738.095172127674,0.332639875066963,3.7091667937107,31.0772261982684,22.5872451263012,117.241149929933,6928.57710881611,1837.16629818813,262.590621196312,92.2041422882236,26.7307951380695,799.390200510298,W
582.179734604499,55.7687206750644,16.7212320953857,10.3897464437819,19.4749881455025,0.737497726657282,0.0706470910472106,0.0211822396491237,0.0131615958567162,0.0246706620486246,9.765625,4.99314078591814,832.144940364737,0.302210904202525,4.08972614966475,34.3096575899721,22.0629700619432,124.857756513781,6157.11481538084,1833.59737709252,276.469952508288,87.3124811380995,24.9194407344032,789.398683631523,W
833.953535802001,65.1059326483948,18.6168640532555,11.4259408620711,21.0115633975149,0.764708425623686,0.0597000349742942,0.0170710623422493,0.0104772183014981,0.0192669242059796,7.6171875,4.84831719926339,1135.55391384933,0.27816421307843,4.42691876274407,38.5045241517995,28.0716103401198,180.81281670826,11104.2143353973,1871.61799851118,285.969344193492,103.484680509153,25.4899678965156,1090.55099676957,W
895.915161883764,85.3227437362241,23.735610482816,12.8281523910037,23.8632906792645,0.803165641539823,0.0764897159087628,0.021278383971856,0.0115001193006128,0.0213928460897611,9.375,5.02817099413249,1113.09013181315,0.309284907166061,4.023514970866,38.5012723134656,27.2649213917679,137.630506628185,12399.0803846959,2698.06933315377,353.019005002347,102.218723937507,34.8821102714775,1115.47994030985,W
