onset_s,offset_s,duration_s,peak_amp,freq_hz
34402.23,34404.03,1.81,64.6440913347842,NaN
34414.6,34416.44,1.85,51.9128362495564,NaN
34533.6,34535.41,1.82,62.6582041535703,NaN
34604.92,34606.59,1.68,80.7894830685745,NaN
34617.87,34619.7,1.84,60.1711769886782,NaN
34729.87,34731.31,1.45,69.4853608849673,NaN
34757.13,34758.69,1.57,63.9222580750401,NaN
34889.36,34891.25,1.9,60.1127178817771,NaN
34921.81,34923.03,1.23,59.7198272289433,NaN
34996.53,34998.37,1.85,54.4160426624146,NaN
35003.23,35005.11,1.89,77.8898715179017,NaN
35025.36,35026.66,1.31,53.5656171835794,NaN
35106.46,35108.29,1.84,62.861841705948,NaN
35146.84,35148.63,1.8,48.2559394191839,NaN
35215.18,35217.03,1.86,68.7165636628366,NaN
35221.49,35223.33,1.85,67.5018484863299,NaN
35248.83,35249.77,0.95,42.0400383859673,NaN
35249.98,35250.94,0.97,36.9311063003726,NaN
35268.36,35269.57,1.22,52.428466971072,NaN
35298.12,35299.54,1.43,54.406991450757,NaN
35319.49,35321.37,1.89,60.9620857312228,NaN
35332.84,35334.25,1.42,58.2620336152166,NaN
35376.28,35377.72,1.45,49.6815505923306,NaN
35401.8,35403.59,1.8,49.0020777798043,NaN
35455.63,35456.45,0.83,45.5365176998558,NaN
35457.75,35458.81,1.07,64.781749419362,NaN
35459.07,35459.88,0.82,27.3792985093474,NaN
35478.42,35479.61,1.2,51.5011945700357,NaN
35508.54,35509.04,0.51,24.0352804389427,NaN
35519.63,35521.19,1.57,61.8162365054161,NaN
35529.26,35530.59,1.34,54.4123491731614,NaN
35566.32,35568.21,1.9,64.8960548034448,NaN
35730.11,35731.5,1.4,56.2027315771833,NaN
35745.52,35746.31,0.8,41.3868576686439,NaN
35769.27,35770.78,1.52,67.7437912396245,NaN
35773.44,35773.97,0.54,36.8792791660808,NaN
35782.21,35783.01,0.81,41.0826225124547,NaN
35783.56,35784.26,0.71,31.7797553406025,NaN
35800.66,35801.41,0.76,26.2237814970903,NaN
35805.9,35807.43,1.54,47.5324430865175,NaN
35826.22,35827.63,1.42,71.466160679191,NaN
35837.86,35839.11,1.26,50.6639628190651,NaN
35839.23,35839.94,0.72,34.5144418887506,NaN
35845.77,35847.05,1.29,65.6976346174737,NaN
35889.22,35890.49,1.28,55.2791143282926,NaN
35893.25,35894.68,1.44,59.6151116554884,NaN
35896.5,35897.53,1.04,61.2947930325303,NaN
36016.1,36017.41,1.32,43.7848417197244,NaN
36021.94,36023.48,1.55,60.3958992528956,NaN
