onset_s,offset_s,duration_s,peak_amp,freq_hz
31774.03,31775.57,1.55,56.1676348168818,NaN
32378.86,32380.71,1.86,62.1832367259347,NaN
32428.33,32429.96,1.64,58.7569364415498,NaN
32924.36,32926.04,1.69,70.8800214478452,NaN
33178.09,33179.63,1.55,48.6477052411281,NaN
33369.86,33371.48,1.63,59.9136938326544,NaN
33430.55,33432.16,1.62,50.5834371965,NaN
33450.56,33451.46,0.91,28.9827083872357,NaN
34815.01,34815.93,0.93,26.6818883957094,NaN
35001.55,35003.01,1.47,43.9235265822695,NaN
35408.08,35409.71,1.64,51.2354867867717,NaN
35429.42,35430,0.59,33.322508607865,NaN
38638.62,38640,1.39,94.5602918922196,NaN
39465.29,39466.82,1.54,46.9650091633058,NaN
39694.6,39695.31,0.72,14.4129185946035,NaN
39695.64,39696.62,0.99,72.7304623125933,NaN
39723.49,39725.29,1.81,133.949799196386,NaN
39774.31,39775.79,1.49,42.5809594062726,NaN
39810.93,39812.23,1.31,47.635391487495,NaN
39834.43,39835.27,0.85,20.2397382917103,NaN
39839.14,39840.82,1.69,56.1486288509923,NaN
39990.01,39990.73,0.73,66.119034693951,NaN
40180.06,40181.68,1.63,65.7129351838185,NaN
40331.06,40332.87,1.82,58.0114888129444,NaN
40481.38,40482.75,1.38,54.3311623248364,NaN
41052.14,41053.51,1.38,59.62116926569,NaN
41055.14,41056.18,1.05,47.3917449527108,NaN
41058.87,41060.7,1.84,61.0643197660427,NaN
43670.3,43671.48,1.19,44.3777652538329,NaN
44119.94,44121.37,1.44,53.9378770646741,NaN
47610.01,47611.74,1.74,75.1381453360399,NaN
48148.13,48150,1.88,60.6864815154982,NaN
50788.43,50789.16,0.74,24.1383894818382,NaN
50789.26,50790,0.75,58.4293011335925,NaN
51711.04,51712.8,1.77,91.0798161376162,NaN
51984.19,51985.16,0.98,38.9520432290829,NaN
52020.01,52021.98,1.98,133.591045710495,NaN
52252.19,52254.04,1.86,48.4275345029999,NaN
53969.84,53971.53,1.7,54.207845817299,NaN
55655.73,55656.83,1.11,57.7482392089494,NaN
56681.69,56683.26,1.58,56.8527035238709,NaN
